         4369179 function calls (2420848 primitive calls) in 8.534 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    8.534    8.534 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:11(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 codecs.py:186(__init__)
        1    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
      424    0.000    0.000    0.005    0.000 cp1252.py:22(decode)
   109999    0.042    0.000    0.042    0.000 imatlab.py:20(<listcomp>)
   109999    0.205    0.000    8.345    0.000 imatlab.py:7(process_command)
        1    0.116    0.116    8.534    8.534 imatlab.py:75(run_commands)
        1    0.000    0.000    8.534    8.534 imatlab_benchmark.py:27(testRun)
        1    0.000    0.000    6.101    6.101 modular.py:13(lista_primos)
        1    0.155    0.155    6.101    6.101 modular.py:14(<listcomp>)
  1009998    7.188    0.000    7.188    0.000 modular.py:2(es_primo)
2048330/99999    0.510    0.000    0.510    0.000 modular.py:29(mcd)
    99999    0.028    0.000    0.537    0.000 modular.py:54(coprimos)
   109999    0.048    0.000    0.167    0.000 re.py:198(search)
   109999    0.040    0.000    0.060    0.000 re.py:289(_compile)
      424    0.005    0.000    0.005    0.000 {built-in method _codecs.charmap_decode}
        1    0.000    0.000    0.000    0.000 {built-in method _locale._getdefaultlocale}
        1    0.000    0.000    8.534    8.534 {built-in method builtins.exec}
   109999    0.020    0.000    0.020    0.000 {built-in method builtins.isinstance}
        2    0.001    0.000    0.001    0.000 {built-in method io.open}
        2    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
   219998    0.031    0.000    0.031    0.000 {method 'group' of 're.Match' objects}
   109999    0.059    0.000    0.059    0.000 {method 'search' of 're.Pattern' objects}
   109999    0.019    0.000    0.019    0.000 {method 'split' of 'str' objects}
   109999    0.012    0.000    0.012    0.000 {method 'strip' of 'str' objects}
   109999    0.056    0.000    0.056    0.000 {method 'write' of '_io.TextIOWrapper' objects}


Tiempo de ejecución de primosTest.txt: 7.6383561
         12599 function calls in 4.878 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    4.878    4.878 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:11(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 codecs.py:186(__init__)
